day,num_trips
2014-08-01,1162
2014-08-02,387
2014-08-03,365
2014-08-04,1169
2014-08-05,1313
2014-08-06,1254
2014-08-07,1256
2014-08-08,1170
2014-08-09,376
2014-08-10,436
2014-08-11,1234
2014-08-12,1380
2014-08-13,1247
2014-08-14,1251
2014-08-15,1179
2014-08-16,424
2014-08-17,402
2014-08-18,1277
2014-08-19,1278
2014-08-20,1327
2014-08-21,1351
2014-08-22,1235
2014-08-23,484
2014-08-24,343
2014-08-25,1371
2014-08-26,1513
2014-08-27,1478
2014-08-28,1340
2014-08-29,1252
2014-08-30,478
2014-08-31,471
2014-09-01,368
2014-09-02,1319
2014-09-03,1404
2014-09-04,1389
2014-09-05,1265
2014-09-06,435
2014-09-07,336
2014-09-08,1304
2014-09-09,1362
2014-09-10,1351
2014-09-11,1380
2014-09-12,1306
2014-09-13,556
2014-09-14,435
2014-09-15,1515
2014-09-16,1437
2014-09-17,1429
2014-09-18,1185
2014-09-19,1245
2014-09-20,427
2014-09-21,313
2014-09-22,1353
2014-09-23,1362
2014-09-24,1299
2014-09-25,1177
2014-09-26,1242
2014-09-27,464
2014-09-28,374
2014-09-29,1335
2014-09-30,1304
2014-10-01,1393
2014-10-02,1451
2014-10-03,1194
2014-10-04,418
2014-10-05,324
2014-10-06,1169
2014-10-07,1293
2014-10-08,1367
2014-10-09,1306
2014-10-10,1296
2014-10-11,549
2014-10-12,446
2014-10-13,1261
2014-10-14,1496
2014-10-15,1384
2014-10-16,1462
2014-10-17,1256
2014-10-18,473
2014-10-19,417
2014-10-20,1266
2014-10-21,1410
2014-10-22,1319
2014-10-23,1389
2014-10-24,1426
2014-10-25,406
2014-10-26,469
2014-10-27,1393
2014-10-28,1419
2014-10-29,1496
2014-10-30,1409
2014-10-31,847
