trip_id,start_station_name,end_station_name,start_hour_str,start_station_id,end_station_id,subscriber_type
4755,Embarcadero at Sansome,Post at Kearney,Afternoon,60,47,Customer
4757,Beale at Market,Embarcadero at Sansome,Afternoon,56,60,Customer
4756,Spear at Folsom,San Francisco Caltrain (Townsend at 4th),Afternoon,49,70,Subscriber
4761,Howard at 2nd,Powell Street BART,Afternoon,63,39,Subscriber
4759,Market at Sansome,South Van Ness at Market,Afternoon,77,66,Customer
4760,South Van Ness at Market,South Van Ness at Market,Afternoon,66,66,Subscriber
4762,Powell Street BART,Harry Bridges Plaza (Ferry Building),Afternoon,39,50,Customer
4764,MLK Library,San Jose Diridon Caltrain Station,Afternoon,11,2,Customer
4765,South Van Ness at Market,Market at 10th,Afternoon,66,67,Subscriber
4767,Townsend at 7th,Embarcadero at Sansome,Afternoon,65,60,Customer
4766,San Mateo County Center,San Mateo County Center,Afternoon,23,23,Subscriber
4769,Grant Avenue at Columbus Avenue,Harry Bridges Plaza (Ferry Building),Afternoon,73,50,Customer
4771,Market at Sansome,South Van Ness at Market,Afternoon,77,66,Customer
4772,Santa Clara at Almaden,San Jose Diridon Caltrain Station,Afternoon,4,2,Subscriber
4775,Spear at Folsom,Embarcadero at Sansome,Afternoon,49,60,Customer
4774,Market at Sansome,South Van Ness at Market,Afternoon,77,66,Subscriber
4778,Clay at Battery,Davis at Jackson,Afternoon,41,42,Subscriber
4777,Market at 10th,Powell Street BART,Afternoon,67,39,Subscriber
4776,Market at 10th,Powell Street BART,Afternoon,67,39,Subscriber
4779,Powell Street BART,Clay at Battery,Afternoon,39,41,Subscriber
4780,Market at Sansome,South Van Ness at Market,Afternoon,77,66,Subscriber
4787,Beale at Market,Market at 4th,Afternoon,56,76,Subscriber
4781,Commercial at Montgomery,2nd at Townsend,Afternoon,45,61,Customer
4782,Townsend at 7th,San Francisco Caltrain 2 (330 Townsend),Afternoon,65,69,Subscriber
4784,Market at 10th,Golden Gate at Polk,Afternoon,67,59,Subscriber
4783,Market at 10th,Golden Gate at Polk,Afternoon,67,59,Subscriber
4785,Yerba Buena Center of the Arts (3rd @ Howard),San Francisco Caltrain (Townsend at 4th),Afternoon,68,70,Subscriber
4786,Market at 10th,Golden Gate at Polk,Afternoon,67,59,Subscriber
4788,Spear at Folsom,Embarcadero at Sansome,Afternoon,49,60,Subscriber
4790,Market at 10th,Steuart at Market,Afternoon,67,74,Customer
4799,Davis at Jackson,Steuart at Market,Afternoon,42,74,Subscriber
