day,num_trips
2014-09-15,1515
2014-08-26,1513
2016-05-12,1497
2014-10-14,1496
2014-10-29,1496
2014-08-27,1478
2015-08-26,1465
2014-10-16,1462
2014-10-02,1451
2015-07-28,1451
2015-08-27,1443
2014-09-16,1437
2015-06-11,1437
2014-09-17,1429
2014-10-24,1426
2015-09-15,1423
2015-08-25,1421
2014-10-28,1419
2015-08-17,1418
2015-06-04,1413
2015-07-29,1411
2014-11-06,1410
2014-10-21,1410
2015-06-16,1409
2014-10-30,1409
2015-03-25,1409
2015-09-29,1408
2015-08-18,1407
2015-07-08,1405
2015-09-09,1405
2014-09-03,1404
2015-10-20,1403
2015-03-30,1403
2015-08-12,1400
2015-08-13,1400
2015-10-13,1397
2015-08-11,1397
2015-04-02,1394
2014-10-27,1393
2014-10-01,1393
2015-06-23,1392
2015-06-25,1391
2015-06-02,1390
2014-09-04,1389
2015-09-01,1389
2014-10-23,1389
2015-07-20,1386
2015-07-15,1384
2014-10-15,1384
2015-07-16,1382
2015-06-09,1382
2014-11-05,1381
2015-05-19,1381
2014-09-11,1380
2014-08-12,1380
2015-04-01,1379
2015-04-22,1376
2015-05-06,1374
2015-04-28,1374
2015-04-21,1371
2015-10-14,1371
2014-08-25,1371
2015-05-05,1369
2015-08-31,1369
2015-04-23,1368
2014-07-29,1368
2015-01-13,1368
2015-02-10,1368
2014-10-08,1367
2014-07-23,1366
2015-03-17,1365
2015-02-04,1364
2015-07-27,1363
2014-12-08,1363
2015-02-03,1363
2014-11-12,1363
2015-03-19,1363
2014-09-09,1362
2014-09-23,1362
2015-05-07,1360
2015-08-04,1360
2015-04-16,1359
2015-04-15,1359
2015-07-07,1359
2015-07-14,1358
2015-09-10,1357
2015-09-22,1355
2015-05-21,1355
2015-03-31,1354
2014-09-22,1353
2015-06-17,1353
2015-08-20,1352
2015-08-19,1352
2014-08-21,1351
2014-09-10,1351
2015-06-18,1351
2014-07-30,1350
2016-05-17,1350
2015-07-21,1349
2015-03-26,1348
